summary_id,delivery_year,race,hispanic,age_cohort,population,avg_prenatal_care_start_month,avg_num_prenatal_visits,avg_body_mass_index,prepregnancy_diabetes_count,gestational_diabetes_count,prepregnancy_hypertension_count,gestational_hypertension_count,hypertension_eclampsia_count,prev_preterm_birth_count,prev_cesarean_count,total_risk_factors,total_prev_cesareans,delivery_vaginal_count,delivery_vaginal_prior_cesarean_count,delivery_primary_cesarean_count,delivery_repeat_cesarean_count,delivery_vaginal_unknown_prior_count,delivery_cesarean_unknown_prior_count,delivery_not_stated_count,total_delivery_vaginal,total_delivery_cesarean,maternal_transfusion_count,perineal_laceration_count,ruptured_uterus_count,unplanned_hysterectomy_count,admit_intensive_care_count,total_morbidity_count,gestation_weeks
2009110,2009,White,Hispanic,12-19,103086,3.5546,9.8755,24.33737,180,1104,250,3281,194,519,3548,9076,23333,79694,308,19649,3240,132,27,36,80134,22916,214,887,12,12,230,1355,38.47927
2009111,2009,White,Hispanic,20-24,201658,3.2866,10.3452,26.07140,716,4271,694,5454,285,2126,22196,35742,90896,143059,1711,35782,20481,385,105,135,145155,56368,343,1311,31,30,334,2049,38.55864
2009112,2009,White,Hispanic,25-29,199500,3.0781,10.7595,26.95160,1188,7737,1046,5176,250,2876,32307,50580,114561,132257,2597,34348,29706,344,126,122,135198,64180,295,1050,29,48,341,1763,38.52183
2009113,2009,White,Hispanic,30-34,145233,2.9840,10.9913,27.27036,1370,9058,1156,4137,239,2249,29256,47465,93138,87896,2307,27689,26945,216,84,96,90419,54718,278,706,32,86,331,1433,38.37136
2009114,2009,White,Hispanic,35-29,73244,2.9652,11.1423,27.46370,1046,6461,943,2548,124,1129,17298,29549,53454,39557,1220,16196,16077,97,46,51,40874,32319,160,325,8,65,190,748,38.15722
2009115,2009,White,Hispanic,40-44,16281,3.0177,11.2243,27.78298,330,1856,388,768,34,305,3942,7623,12574,7910,255,4385,3687,24,11,9,8189,8083,46,60,9,15,63,193,37.90471
2009116,2009,White,Hispanic,45-49,897,3.0780,11.5805,27.25815,25,115,45,61,2,15,214,477,994,362,14,318,200,2,0,1,378,518,5,1,0,8,8,22,37.47882
2009117,2009,White,Hispanic,50-54,40,2.7778,11.5429,28.16923,1,7,6,9,0,0,7,30,9,8,0,25,7,0,0,0,8,32,2,0,0,0,0,2,35.81250
2009100,2009,White,Non-Hispanic,12-19,107364,3.4708,10.6994,24.17263,310,1685,458,5122,228,680,2644,11127,57689,81709,155,22391,2488,374,108,139,82238,24987,276,1239,14,10,116,1655,38.62362
2009101,2009,White,Non-Hispanic,20-24,330299,3.2287,11.0169,25.82907,1484,8347,2490,15232,603,6095,28861,63112,225096,234364,2002,65079,26843,1142,407,462,237508,92329,737,3405,60,55,351,4608,38.64222
2009102,2009,White,Non-Hispanic,25-29,435171,2.8998,11.4964,26.06102,2408,15782,4611,19824,765,9951,51003,104344,286529,295102,4533,86868,46461,1179,509,519,300814,133838,936,5529,104,107,409,7085,38.61029
2009103,2009,White,Non-Hispanic,30-34,364797,2.7541,11.6942,25.86721,2498,17248,5035,15558,609,9065,57186,107199,256586,229700,5205,76302,51971,860,408,351,235765,128681,864,3884,111,160,414,5433,38.51638
2009104,2009,White,Non-Hispanic,35-29,176163,2.7408,11.8005,25.99117,1540,11209,3417,7890,329,4950,35011,64346,155538,98749,3042,41562,31964,427,236,183,102218,73762,507,1288,62,121,282,2260,38.31699
2009105,2009,White,Non-Hispanic,40-44,39747,2.7978,11.8963,25.98562,448,3182,1055,2163,86,1172,8480,16586,39044,19800,841,11258,7636,87,67,58,20728,18961,141,219,10,47,74,491,38.11212
2009106,2009,White,Non-Hispanic,45-49,3096,2.8464,12.3665,25.42543,19,249,107,271,16,91,622,1375,3530,1151,50,1309,572,8,5,1,1209,1886,15,13,3,4,17,52,37.43705
2009107,2009,White,Non-Hispanic,50-54,298,2.6605,13.3829,25.61771,2,30,9,30,1,13,61,146,384,70,4,165,56,2,0,1,76,221,1,0,0,2,0,3,36.35067
2009210,2009,Black,Hispanic,12-19,5089,3.6646,9.6085,24.62561,12,57,27,196,12,42,184,530,5166,3843,26,1009,158,35,5,13,3904,1172,8,44,1,3,8,64,38.29819
