universe,month,year,age,age_cohort,total_population,total_female_population,white_nh,hispanic,black,ai_an,asian_pi,total_race_population
R,12,2009,10,10-14,20680725,10102490,5557185,2007233,1759546,156242,663953,10144159
R,12,2009,15,15-19,21981324,10703297,5999277,1973970,1918130,164034,678706,10734117
R,12,2009,20,20-24,21701999,10629461,6156910,1822286,1778667,151553,746547,10655963
R,12,2009,25,25-29,21143850,10482589,6085363,1832483,1612942,143354,830381,10504523
R,12,2009,30,30-34,20069509,10017471,5743126,1798201,1537052,133354,823706,10035439
R,12,2009,35,35-29,20079285,10086464,5918489,1726109,1497582,127323,825035,10094538
R,12,2009,40,40-44,20905418,10505022,6593973,1542719,1505156,123461,739111,10504420
R,12,2009,45,45-49,22636945,11460909,7682846,1375813,1581612,127633,682420,11450324
R,12,2009,50,50-54,22353235,11393081,7985880,1138294,1510843,117011,624325,11376353
R,12,2010,10,10-14,20696702,10114129,5540653,2023650,1763859,156748,672598,10157508
R,12,2010,15,15-19,21820708,10622321,5932294,1981590,1898425,162778,678268,10653355
R,12,2010,20,20-24,21897348,10724130,6181092,1846567,1810367,153667,759904,10751597
R,12,2010,25,25-29,21187737,10497668,6086242,1835898,1616757,143621,837757,10520275
R,12,2010,30,30-34,20286770,10126337,5801151,1816023,1556668,134936,836275,10145053
R,12,2010,35,35-29,19846561,9968390,5801803,1735206,1483479,127041,830004,9977533
R,12,2010,40,40-44,20967907,10539980,6585500,1564910,1511512,123857,754249,10540028
R,12,2010,45,45-49,22435552,11354761,7561230,1391100,1576650,127229,689073,11345282
R,12,2010,50,50-54,22474489,11454509,8004491,1159905,1523947,118354,631387,11438084
R,12,2011,10,10-14,20693246,10118110,5491861,2060676,1767729,157141,687596,10165003
R,12,2011,15,15-19,21520819,10473266,5807736,1998485,1855213,160441,683813,10505688
R,12,2011,20,20-24,22350508,10942054,6230010,1907244,1886307,158302,790263,10972126
R,12,2011,25,25-29,21332520,10551557,6091609,1846355,1636500,144877,855949,10575290
R,12,2011,30,30-34,20707925,10334710,5914608,1844753,1592052,137668,865690,10354771
R,12,2011,35,35-29,19522305,9804723,5619733,1759401,1467062,126557,843962,9816715
R,12,2011,40,40-44,21056012,10588138,6534754,1615733,1522414,125330,791484,10589715
R,12,2011,45,45-49,21966478,11111940,7280728,1429529,1562739,125821,705999,11104816
